Subject,Testing day 1 order,Day 1 Date,Day 1 Start,Day 1 Tag 1,Day 1 Tag 2,Day 1 End,Day 2 Date,Day 2 Start,Day 2 ROM,Day 2 Baseline,Day 2 First NFB,Day 2 TI 1,Day 2 TI 2,Day 2 TI 3,Day 2 TI 4,Day 2 Retention,Day 2 Switch,Day 2 End
S01,1,5/7/2024,9:40,9:52,10:16,10:28,5/8/2024,9:58,10:17,10:28,10:32,10:38,10:47,10:54,11:01,11:09,11:18,11:40
S02,2,5/7/2024,11:06,11:17,11:42,11:50,5/8/2024,13:28,13:45,13:48,13:53,13:57,14:05,14:12,14:19,14:26,14:34,14:50
S03,3,5/23/2024,12:15,12:36,13:05,13:30,5/24/2024,9:00,9:29,9:32,9:37,9:42,9:49,9:56,10:03,10:11,10:19,10:30
S04,4,5/23/2024,13:30,13:43,14:12,14:24,5/24/2024,13:00,13:28,13:30,13:36,13:40,13:47,13:54,14:01,14:07,14:16,14:25
S05,5,5/27/2024,16:00,16:10,16:36,16:50,5/28/2024,12:57,13:17,13:18,13:23,13:28,13:35,13:45,13:52,13:59,14:08,14:22
S06,6,5/27/2024,17:15,17:30,17:48,18:00,5/28/2024,9:39,9:56,9:58,10:03,10:08,10:16,10:23,10:31,10:39,10:57,11:15
S07,7,5/28/2024,15:30,15:35,15:55,16:05,5/29/2024,13:05,13:33,13:35,13:51,14:07,14:15,14:23,14:31,14:39,14:49,14:55
S08,8,5/29/2024,8:35,8:50,9:29,9:45,5/30/2024,9:00,9:30,9:32,9:37,9:42,9:50,9:59,10:07,10:14,10:22,10:50
S09,9,5/30/2024,15:30,15:52,16:26,16:50,5/31/2024,14:00,14:30,14:32,14:37,14:42,14:49,14:57,15:07,15:17,15:26,15:50
S10,11,6/3/2024,8:30,8:40,8:55,9:20,6/4/2024,8:30,8:53,8:55,9:00,9:07,9:15,9:22,9:29,9:36,9:46,10:00
S11,12,6/3/2024,13:30,13:42,13:58,14:10,6/4/2024,13:00,13:29,13:31,13:36,13:41,13:50,13:59,14:07,14:15,14:26,14:30
S12,13,6/5/2024,9:30,9:40,9:57,10:10,6/6/2024,9:27,9:58,9:59,10:04,10:09,10:16,10:22,10:30,10:37,10:47,10:57
S13,10,5/30/2024,10:20,10:30,10:49,11:00,5/31/2024,11:00,11:18,11:21,11:27,11:31,11:38,11:46,11:53,12:00,12:09,12:30
S14,19,6/12/2024,13:00,13:19,13:46,14:00,6/13/2024,13:00,13:19,13:20,13:25,13:30,13:37,13:44,13:50,13:58,14:10,14:20
S15,14,6/6/2024,11:45,11:55,12:11,12:20,6/7/2024,11:32,11:47,11:48,11:53,11:57,12:05,12:12,12:20,12:27,12:35,12:47
S16,15,6/6/2024,13:30,13:40,13:58,14:00,6/7/2024,9:00,9:17,9:19,9:23,9:32,9:39,9:46,9:54,10:01,10:11,10:25
S17,20,6/13/2024,9:50,10:02,10:20,10:30,6/14/2024,10:25,10:51,10:53,10:57,11:02,11:11,11:18,11:26,11:33,11:44,12:00
S18,17,6/11/2024,9:00,9:12,9:30,9:45,6/12/2024,8:55,9:21,9:23,9:28,9:32,9:39,9:46,9:53,10:00,10:11,10:30
S19,16,6/10/2024,9:03,9:16,9:39,9:52,6/11/2024,12:55,13:24,13:25,13:30,13:36,13:43,13:50,13:57,14:04,14:13,14:25
S20,18,6/11/2024,10:38,10:48,11:09,11:25,6/12/2024,11:19,11:35,11:36,11:41,11:46,11:53,12:00,12:07,12:14,12:21,12:40
S21,22,6/17/2024,8:58,9:10,9:37,9:47,6/18/2024,9:04,9:24,9:27,9:32,9:37,9:46,9:54,10:02,10:10,10:20,10:30
S22,23,6/17/2024,10:06,10:19,10:42,10:50,6/18/2024,11:00,11:19,11:22,11:28,11:33,11:40,11:47,11:55,12:02,12:12,12:20
S23,24,6/18/2024,14:05,14:27,14:41,15:00,6/19/2024,10:00,10:29,10:32,10:36,10:42,10:50,10:58,11:06,11:14,11:33,11:43
S24,30,6/26/2024,10:00,10:28,10:55,11:00,6/27/2024,10:00,10:39,10:40,10:46,10:52,11:00,11:07,11:15,11:23,11:35,11:55
S25,29,6/24/2024,14:50,15:05,15:29,15:40,6/25/2024,13:30,13:53,13:55,14:00,14:06,14:13,14:19,14:27,14:34,14:45,15:00
S26,26,6/19/2024,13:50,14:29,14:43,15:00,6/20/2024,14:00,14:24,14:25,14:31,14:37,14:45,14:59,15:07,15:14,15:23,15:35
S27,27,6/20/2024,9:00,9:15,9:41,9:55,6/21/2024,13:00,13:22,13:26,13:32,13:37,13:44,13:51,13:58,14:06,14:16,14:30
S28,25,6/19/2024,12:20,12:50,13:23,13:40,6/20/2024,10:30,10:53,10:55,11:02,11:06,11:13,11:20,11:27,11:34,11:47,12:00
S29,28,6/24/2024,9:20,9:30,10:00,10:10,6/25/2024,16:00,16:24,16:26,16:30,16:38,16:44,16:52,16:59,17:06,17:15,17:40
S30,31,6/26/2024,14:00,14:34,14:54,15:00,6/27/2024,13:30,13:49,13:51,13:56,14:01,14:08,14:15,14:22,14:30,14:40,15:00
S31,33,7/1/2024,15:00,15:15,15:39,15:50,7/2/2024,9:45,10:05,10:07,10:13,10:17,10:24,10:32,10:39,10:46,10:55,11:00
S32,35,7/2/2024,13:30,13:50,14:09,14:30,7/3/2024,13:40,13:58,14:04,14:09,14:16,14:23,14:30,14:40,14:55,15:04,15:20
S33,32,6/27/2024,16:25,16:40,16:58,17:15,6/28/2024,8:10,8:30,8:32,8:37,8:42,8:49,8:57,9:04,9:12,9:23,9:35
S34,21,6/13/2024,17:00,17:16,17:30,17:45,6/14/2024,12:00,12:22,12:25,12:30,12:36,12:43,12:50,12:57,13:03,13:12,13:30
S35,36,7/4/2024,10:00,10:20,10:53,11:00,7/5/2024,9:10,9:31,9:33,9:38,9:45,9:51,9:58,10:06,10:13,10:22,10:35
S36,34,7/1/2024,17:00,17:16,17:33,17:50,7/2/2024,16:40,17:10,17:12,17:18,17:23,17:30,17:38,17:45,17:53,18:03,18:15
