first,second,side
300,380,1
300,270,0
330,300,0
300,600,1
270,300,0
60,300,1
220,300,0
300,330,1
380,300,0
300,270,1
300,220,1
300,60,1
330,300,0
300,60,0
300,380,1
220,300,0
300,600,0
270,300,1
600,300,0
270,300,0
60,300,1
300,380,0
300,220,0
300,330,0
300,60,1
600,300,0
300,220,1
380,300,0
330,300,1
600,300,1
300,380,0
300,270,1
330,300,1
300,600,0
270,300,1
60,300,0
220,300,1
300,330,0
380,300,1
300,270,0
300,220,0
300,60,0
330,300,1
300,60,1
300,380,0
220,300,1
300,600,1
270,300,0
600,300,1
270,300,1
60,300,0
300,380,1
300,220,1
300,330,1
300,60,0
600,300,1
300,220,0
380,300,1
330,300,0
600,300,0
